"Project","Feature","RelativePath","FileName","ClassName","BaseClass"
"Dukan_x","pharmacy","G:\desktop app genuine\Dukan_x\lib\features\pharmacy\screens\patient_registry_screen.dart","patient_registry_screen.dart","PatientRegistryScreen","ConsumerStatefulWidget"
"Dukan_x","pharmacy","G:\desktop app genuine\Dukan_x\lib\features\pharmacy\screens\product_catalog_screen.dart","product_catalog_screen.dart","PharmacyProductCatalogScreen","ConsumerStatefulWidget"
"Dukan_x","pharmacy","G:\desktop app genuine\Dukan_x\lib\features\pharmacy\screens\salt_search_screen.dart","salt_search_screen.dart","SaltSearchScreen","ConsumerStatefulWidget"
"Dukan_x","physical_to_digital","G:\desktop app genuine\Dukan_x\lib\features\physical_to_digital\ui\screens\p2d_camera_screen.dart","p2d_camera_screen.dart","P2DCameraScreen","StatefulWidget"
"Dukan_x","physical_to_digital","G:\desktop app genuine\Dukan_x\lib\features\physical_to_digital\ui\screens\p2d_crop_screen.dart","p2d_crop_screen.dart","P2DCropScreen","StatefulWidget"
"Dukan_x","physical_to_digital","G:\desktop app genuine\Dukan_x\lib\features\physical_to_digital\ui\screens\p2d_export_screen.dart","p2d_export_screen.dart","P2DExportScreen","StatefulWidget"
"Dukan_x","physical_to_digital","G:\desktop app genuine\Dukan_x\lib\features\physical_to_digital\ui\screens\p2d_filter_screen.dart","p2d_filter_screen.dart","P2DFilterScreen","StatefulWidget"
"Dukan_x","physical_to_digital","G:\desktop app genuine\Dukan_x\lib\features\physical_to_digital\ui\screens\p2d_ocr_screen.dart","p2d_ocr_screen.dart","P2DOcrScreen","StatefulWidget"
"Dukan_x","prescriptions","G:\desktop app genuine\Dukan_x\lib\features\prescriptions\presentation\screens\h1_register_screen.dart","h1_register_screen.dart","H1RegisterScreen","StatefulWidget"
"Dukan_x","pre_order","G:\desktop app genuine\Dukan_x\lib\features\pre_order\presentation\customer\customer_pre_order_screen.dart","customer_pre_order_screen.dart","CustomerPreOrderScreen","StatefulWidget"
