"Method","Path","OperationId","LambdaHandler","DynamoDbPattern","Auth","TenantIsolated","ZodValidated","Status"
"POST","/staff/sale/generate-qr","staffSaleGenerateQr","src/handlers/staff-sale.ts:generateSaleQr","Put/Write/Update/Get","Yes","Yes","Yes","Implemented"
"GET","/staff/sale/history","staffSaleHistory","src/handlers/staff-sale.ts:getMyHistory","Put/Write/Update/Get","Yes","Yes","Yes","Implemented"
"GET","/staff/transactions","ownerStaffTransactions","src/handlers/staff-sale-history.ts:getStaffTransactions","Get","Yes","Yes","No","Implemented"
"GET","/staff/transactions/summary","ownerStaffTransactionSummary","src/handlers/staff-sale-history.ts:getTransactionSummary","Get","Yes","Yes","No","Implemented"
"GET","/staff/transactions/{id}","ownerStaffTransactionDetail","src/handlers/staff-sale-history.ts:getTransactionDetail","Get","Yes","Yes","No","Implemented"
"GET","/stock-count","stockCountList","src/handlers/stock-count.ts:listCounts","Put/Write/Update/Get","Yes","Yes","Yes","Implemented"
"POST","/stock-count","stockCountStart","src/handlers/stock-count.ts:startCount","Put/Write/Update/Get","Yes","Yes","Yes","Implemented"
"GET","/stock-count/{id}","stockCountGet","src/handlers/stock-count.ts:getCount","Put/Write/Update/Get","Yes","Yes","Yes","Implemented"
"POST","/stock-count/{id}/finalize","stockCountFinalize","src/handlers/stock-count.ts:finalize","Put/Write/Update/Get","Yes","Yes","Yes","Implemented"
"POST","/stock-count/{id}/items","stockCountSubmitItems","src/handlers/stock-count.ts:submitItems","Put/Write/Update/Get","Yes","Yes","Yes","Implemented"
"GET","/storage/signed-url","getSignedUrl","src/handlers/storage.ts:getSignedUrl","Get","Yes","Yes","Yes","Implemented"
"GET","/suppliers","supplierList","src/handlers/suppliers.ts:listSuppliers","Update/Get","Yes","Yes","Yes","Implemented"
"POST","/suppliers","supplierCreate","src/handlers/suppliers.ts:createSupplier","Update/Get","Yes","Yes","Yes","Implemented"
"GET","/suppliers/payables/ageing","supplierPayablesAgeing","src/handlers/suppliers.ts:getSupplierPayableAgeing","Update/Get","Yes","Yes","Yes","Implemented"
"GET","/suppliers/payables/reminder-candidates","supplierReminderCandidates","src/handlers/suppliers.ts:getSupplierReminderCandidates","Update/Get","Yes","Yes","Yes","Implemented"
"POST","/suppliers/payables/reminders/trigger","supplierRemindersTrigger","src/handlers/suppliers.ts:triggerSupplierReminders","Update/Get","Yes","Yes","Yes","Implemented"
"GET","/suppliers/payables/summary","supplierPayablesSummary","src/handlers/suppliers.ts:getSupplierPayablesSummary","Update/Get","Yes","Yes","Yes","Implemented"
"POST","/suppliers/payments","supplierRecordPayment","src/handlers/suppliers.ts:recordSupplierPayment","Update/Get","Yes","Yes","Yes","Implemented"
"PUT","/suppliers/{id}","supplierUpdate","src/handlers/suppliers.ts:updateSupplier","Update/Get","Yes","Yes","Yes","Implemented"
"GET","/suppliers/{id}/ledger","supplierLedger","src/handlers/suppliers.ts:getSupplierLedger","Update/Get","Yes","Yes","Yes","Implemented"
"GET","/top-products","getTopProducts","N/A:N/A","N/A","Yes","No","No","No serverless handler mapping"
"POST","/weighscale/read","weighScaleRead","src/handlers/weighscale.ts:readWeighScale","Get","Yes","Yes","Yes","Implemented"
