"Method","Path","OperationId","LambdaHandler","DynamoDbPattern","Auth","TenantIsolated","ZodValidated","Status"
"POST","/invoices/{id}/einvoice/cancel","einvoiceCancel","src/handlers/einvoice.ts:cancelEInvoice","Put/Write/Get","Yes","Yes","Yes","Implemented"
"POST","/invoices/{id}/ewaybill","ewaybillGenerate","src/handlers/einvoice.ts:generateEWayBill","Put/Write/Get","Yes","Yes","Yes","Implemented"
"POST","/invoices/{id}/return","returnInvoice","src/handlers/invoices.ts:returnInvoice","Put/Write/Update/Get","Yes","Yes","Yes","Implemented"
"GET","/jewellery/reports/hallmark-register","jewelleryHallmarkRegister","src/handlers/jewellery-reports.ts:hallmarkRegisterReport","Query/Get","Yes","Yes","Yes","Implemented"
"GET","/jewellery/reports/old-gold-register","jewelleryOldGoldRegister","src/handlers/jewellery-reports.ts:oldGoldRegisterReport","Query/Get","Yes","Yes","Yes","Implemented"
"POST","/license/activate","licenseActivate","src/handlers/license.ts:activate","Update/Get","Yes","Yes","No","Implemented"
"POST","/license/generate","licenseGenerate","src/handlers/license.ts:generate","Update/Get","Yes","Yes","No","Implemented"
"POST","/license/manage","licenseManage","src/handlers/license.ts:manage","Update/Get","Yes","Yes","No","Implemented"
"GET","/license/status","licenseStatus","src/handlers/license.ts:status","Update/Get","Yes","Yes","No","Implemented"
"POST","/license/validate","licenseValidate","src/handlers/license.ts:validate","Update/Get","Yes","Yes","No","Implemented"
"POST","/loyalty/earn","loyaltyEarn","src/handlers/loyalty.ts:earnPoints","Get","Yes","Yes","Yes","Implemented"
"GET","/loyalty/history/{customerId}","loyaltyHistory","src/handlers/loyalty.ts:getHistory","Get","Yes","Yes","Yes","Implemented"
"POST","/loyalty/redeem","loyaltyRedeem","src/handlers/loyalty.ts:redeemPoints","Get","Yes","Yes","Yes","Implemented"
"GET","/loyalty/{customerId}","loyaltyGetBalance","src/handlers/loyalty.ts:getBalance","Get","Yes","Yes","Yes","Implemented"
"POST","/notifications/register-device","registerDevice","src/handlers/notification.ts:registerDevice","Update","Yes","Yes","Yes","Implemented"
"GET","/payment-config","paymentConfigGet","src/handlers/payment-config.ts:getConfigs","Delete/Get","Yes","Yes","Yes","Implemented"
"POST","/payment-config","paymentConfigSave","src/handlers/payment-config.ts:saveConfig","Delete/Get","Yes","Yes","Yes","Implemented"
"POST","/payment-config/verify","paymentConfigVerify","src/handlers/payment-config.ts:verifyConfig","Delete/Get","Yes","Yes","Yes","Implemented"
"DELETE","/payment-config/{gateway}","paymentConfigDelete","src/handlers/payment-config.ts:deleteConfig","Delete/Get","Yes","Yes","Yes","Implemented"
"GET","/payment-status","getDashboardPaymentStatus","N/A:N/A","N/A","Yes","No","No","No serverless handler mapping"
"POST","/payment/initiate","initiatePayment","src/handlers/payment.ts:initiatePayment","Query/Get","Yes","Yes","Yes","Implemented"
"POST","/payment/reconcile","reconcilePayments","src/handlers/payment.ts:reconcilePayments","Query/Get","Yes","Yes","Yes","Implemented"
"GET","/payment/status","getPaymentStatus","src/handlers/payment.ts:getPaymentStatus","Query/Get","Yes","Yes","Yes","Implemented"
"POST","/payment/webhook/phonepe","phonePeWebhook","src/handlers/payment-webhook.ts:phonePeWebhook","Update","Yes","Yes","No","Implemented"
"POST","/payment/webhook/razorpay","razorpayWebhook","src/handlers/payment-webhook.ts:razorpayWebhook","Update","Yes","Yes","No","Implemented"
"POST","/pharmacy/batch-intake","pharmacyBatchIntake","src/handlers/pharmacy.ts:batchIntake","Query/Put/Write/Update/Get","Yes","Yes","Yes","Implemented"
"POST","/pharmacy/cds/screen","pharmacyCdsScreen","src/handlers/pharmacy.ts:runClinicalScreening","Query/Put/Write/Update/Get","Yes","Yes","Yes","Implemented"
"GET","/pharmacy/claims","pharmacyClaimList","src/handlers/pharmacy.ts:listClaims","Query/Put/Write/Update/Get","Yes","Yes","Yes","Implemented"
"POST","/pharmacy/claims/transmit","pharmacyClaimTransmit","src/handlers/pharmacy.ts:transmitNcpdpClaim","Query/Put/Write/Update/Get","Yes","Yes","Yes","Implemented"
"GET","/pharmacy/claims/{id}","pharmacyClaimGet","src/handlers/pharmacy.ts:getClaimById","Query/Put/Write/Update/Get","Yes","Yes","Yes","Implemented"
"POST","/pharmacy/claims/{id}/adjudicate","pharmacyClaimAdjudicate","src/handlers/pharmacy.ts:adjudicateClaim","Query/Put/Write/Update/Get","Yes","Yes","Yes","Implemented"
"POST","/pharmacy/claims/{id}/cob/next","pharmacyClaimCobNext","src/handlers/pharmacy.ts:createNextCobClaim","Query/Put/Write/Update/Get","Yes","Yes","Yes","Implemented"
"GET","/pharmacy/drug-master/mappings","pharmacyDrugMasterList","src/handlers/pharmacy.ts:listDrugMasterMappings","Query/Put/Write/Update/Get","Yes","Yes","Yes","Implemented"
"POST","/pharmacy/drug-master/mappings","pharmacyDrugMasterUpsert","src/handlers/pharmacy.ts:upsertDrugMasterMapping","Query/Put/Write/Update/Get","Yes","Yes","Yes","Implemented"
"POST","/pharmacy/fefo-override/authorize","pharmacyFefoOverrideAuthorize","src/handlers/pharmacy.ts:authorizeFefoOverride","Query/Put/Write/Update/Get","Yes","Yes","Yes","Implemented"
"GET","/pharmacy/formulary","pharmacyFormularyList","src/handlers/pharmacy.ts:listFormulary","Query/Put/Write/Update/Get","Yes","Yes","Yes","Implemented"
"POST","/pharmacy/formulary","pharmacyFormularyUpsert","src/handlers/pharmacy.ts:upsertFormulary","Query/Put/Write/Update/Get","Yes","Yes","Yes","Implemented"
"GET","/pharmacy/h1-register","pharmacyH1List","src/handlers/pharmacy.ts:getH1Register","Query/Put/Write/Update/Get","Yes","Yes","Yes","Implemented"
"POST","/pharmacy/h1-register","pharmacyH1Create","src/handlers/pharmacy.ts:createH1Entry","Query/Put/Write/Update/Get","Yes","Yes","Yes","Implemented"
"GET","/pharmacy/h1-register/export","pharmacyH1Export","src/handlers/pharmacy.ts:exportH1Register","Query/Put/Write/Update/Get","Yes","Yes","Yes","Implemented"
"GET","/pharmacy/narcotic-register","pharmacyNarcoticList","src/handlers/pharmacy.ts:getNarcoticRegister","Query/Put/Write/Update/Get","Yes","Yes","Yes","Implemented"
"POST","/pharmacy/narcotic-register","pharmacyNarcoticCreate","src/handlers/pharmacy.ts:createNarcoticEntry","Query/Put/Write/Update/Get","Yes","Yes","Yes","Implemented"
"GET","/pharmacy/narcotic-register/export","pharmacyNarcoticExport","src/handlers/pharmacy.ts:exportNarcoticRegister","Query/Put/Write/Update/Get","Yes","Yes","Yes","Implemented"
"GET","/pharmacy/prescriptions/evidence","pharmacyPrescriptionEvidenceList","src/handlers/pharmacy-compliance.ts:listPrescriptionEvidence","Read/Write","Yes","Yes","Yes","Implemented"
"POST","/pharmacy/prescriptions/evidence","pharmacyPrescriptionEvidenceUpload","src/handlers/pharmacy-compliance.ts:uploadPrescriptionEvidence","Read/Write","Yes","Yes","Yes","Implemented"
"POST","/pharmacy/prescriptions/partial-fills","pharmacyPartialFillCreate","src/handlers/pharmacy.ts:recordPartialFill","Query/Put/Write/Update/Get","Yes","Yes","Yes","Implemented"
"GET","/pharmacy/prescriptions/refills","pharmacyRefillList","src/handlers/pharmacy.ts:listRefillRequests","Query/Put/Write/Update/Get","Yes","Yes","Yes","Implemented"
"POST","/pharmacy/prescriptions/refills","pharmacyRefillCreate","src/handlers/pharmacy.ts:createRefillRequest","Query/Put/Write/Update/Get","Yes","Yes","Yes","Implemented"
"POST","/pharmacy/prescriptions/refills/backfill","pharmacyRefillBackfill","src/handlers/pharmacy.ts:backfillRefillTrace","Query/Put/Write/Update/Get","Yes","Yes","Yes","Implemented"
"POST","/pharmacy/prescriptions/refills/backfill/bulk","pharmacyRefillBulkBackfill","src/handlers/pharmacy.ts:bulkBackfillRefillTrace","Query/Put/Write/Update/Get","Yes","Yes","Yes","Implemented"
"GET","/pharmacy/prescriptions/refills/incomplete","pharmacyRefillIncompleteList","src/handlers/pharmacy.ts:listIncompleteRefills","Query/Put/Write/Update/Get","Yes","Yes","Yes","Implemented"
"POST","/pharmacy/prescriptions/refills/{id}/status","pharmacyRefillStatusUpdate","src/handlers/pharmacy.ts:updateRefillStatus","Query/Put/Write/Update/Get","Yes","Yes","Yes","Implemented"
"GET","/pharmacy/prior-auth","pharmacyPriorAuthList","src/handlers/pharmacy.ts:listPriorAuthorizations","Query/Put/Write/Update/Get","Yes","Yes","Yes","Implemented"
"POST","/pharmacy/prior-auth","pharmacyPriorAuthCreate","src/handlers/pharmacy.ts:createPriorAuthorization","Query/Put/Write/Update/Get","Yes","Yes","Yes","Implemented"
"GET","/pharmacy/prior-auth/{id}","pharmacyPriorAuthGet","src/handlers/pharmacy.ts:getPriorAuthorizationById","Query/Put/Write/Update/Get","Yes","Yes","Yes","Implemented"
"POST","/pharmacy/prior-auth/{id}/status","pharmacyPriorAuthUpdate","src/handlers/pharmacy.ts:updatePriorAuthorization","Query/Put/Write/Update/Get","Yes","Yes","Yes","Implemented"
"POST","/pharmacy/program-track/events","pharmacyProgramTrackRecord","src/handlers/pharmacy.ts:recordProgramTrackEvent","Query/Put/Write/Update/Get","Yes","Yes","Yes","Implemented"
"POST","/pharmacy/return-policy/evaluate","pharmacyReturnPolicyEvaluate","src/handlers/pharmacy-compliance.ts:evaluateReturnPolicy","Read/Write","Yes","Yes","Yes","Implemented"
"POST","/prescriptions","sharedPrescriptionUpload","src/handlers/shared-prescriptions.ts:uploadSharedPrescription","Get","Yes","Yes","Yes","Implemented"
"GET","/prescriptions/check/{rxId}","sharedPrescriptionCheck","src/handlers/shared-prescriptions.ts:checkSharedPrescription","Get","Yes","Yes","Yes","Implemented"
"GET","/prescriptions/{rxId}","sharedPrescriptionGet","src/handlers/shared-prescriptions.ts:getSharedPrescription","Get","Yes","Yes","Yes","Implemented"
"PATCH","/prescriptions/{rxId}/dispense","sharedPrescriptionDispense","src/handlers/shared-prescriptions.ts:dispenseSharedPrescription","Get","Yes","Yes","Yes","Implemented"
"POST","/pump/atg/ingest","pumpAtgIngest","src/handlers/pump-integrations.ts:ingestAtgReading","Query/Put/Write/Update/Delete/Get","Yes","Yes","Yes","Implemented"
"POST","/pump/atg/poll","pumpAtgPoll","src/handlers/pump-integrations.ts:pollAtgReadings","Query/Put/Write/Update/Delete/Get","Yes","Yes","Yes","Implemented"
"POST","/pump/cash-drop","pumpCashDrop","src/handlers/pump.ts:recordCashDrop","Query/Put/Write/Update/Get","Yes","Yes","Yes","Implemented"
"GET","/pump/dip-chart/convert","pumpDipConvert","src/handlers/pump-integrations.ts:convertDipToVolume","Query/Put/Write/Update/Delete/Get","Yes","Yes","Yes","Implemented"
"POST","/pump/dip-chart/upload","pumpDipChartUpload","src/handlers/pump-integrations.ts:uploadDipChart","Query/Put/Write/Update/Delete/Get","Yes","Yes","Yes","Implemented"
